"id","sl.cat","ta.cat","act.cat","northing","easting","date_time"
"blanca",1,7,3,7876107,626227,1563498315
"blanca",1,NA,NA,7876133,626168,1563499613
"blanca",1,NA,NA,7876225,626218,1563500848
"blanca",1,6,1,7876228,626242,1563501267
"blanca",2,8,NA,7876300,626217,1563501676
"blanca",1,4,NA,7876307,626224,1563502099
"blanca",1,7,1,7876312,626222,1563502540
"blanca",1,2,NA,7876291,626258,1563502939
"blanca",1,10,2,7876309,626243,1563503394
"blanca",1,2,NA,7876316,626281,1563503790
"blanca",1,2,NA,7876306,626279,1563504213
"blanca",1,10,2,7876312,626283,1563504631
"blanca",1,2,NA,7876270,626305,1563505045
"blanca",1,5,3,7876221,626313,1563505466
"blanca",1,6,NA,7876202,626328,1563505912
"blanca",1,4,NA,7876161,626308,1563506293
"blanca",1,6,2,7876121,626304,1563506722
"blanca",1,5,NA,7876065,626259,1563507183
"blanca",1,6,5,7876036,626249,1563507566
"blanca",3,7,NA,7875896,626306,1563507973
"blanca",1,NA,NA,7875868,626201,1563574684
"blanca",1,NA,NA,7875822,626135,1563575899
"blanca",1,10,2,7875804,626154,1563576314
"blanca",2,2,NA,7875782,626070,1563576784
"blanca",1,2,3,7875839,626076,1563577165
"blanca",1,6,NA,7875873,626074,1563577584
"blanca",1,6,NA,7875887,626071,1563578016
"blanca",1,7,NA,7875892,626060,1563578464
"blanca",1,5,NA,7875897,626056,1563578837
"blanca",1,NA,3,7875896,626041,1563580141
"blanca",1,1,2,7875896,626053,1563580548
"blanca",1,6,NA,7875907,626072,1563580947
"blanca",1,1,3,7875884,626050,1563581358
"blanca",1,3,NA,7875922,626022,1563581793
"blanca",1,NA,NA,7875925,626095,1563583877
"blanca",1,8,NA,7875963,626087,1563584328
"blanca",1,7,1,7875972,626069,1563584740
"blanca",1,NA,2,7876003,626004,1563586444
"blanca",1,5,3,7875981,625984,1563586828
"blanca",1,7,NA,7875947,625985,1563587246
"blanca",1,5,3,7875895,625970,1563587656
"blanca",2,4,NA,7875880,625881,1563588081
"blanca",2,7,NA,7875822,625842,1563588498
"blanca",2,5,4,7875761,625790,1563588921
"blanca",5,NA,NA,7876007,625608,1563661876
"blanca",3,1,NA,7875886,625719,1563662303
"blanca",1,7,4,7875877,625765,1563662715
"blanca",1,5,NA,7875868,625783,1563663137
"blanca",1,7,4,7875898,625827,1563663575
"blanca",1,8,NA,7875959,625801,1563663982
"blanca",1,4,NA,7875981,625809,1563664407
"blanca",1,NA,3,7876078,625825,1563666920
"blanca",1,2,NA,7876077,625828,1563667350
"blanca",1,2,2,7876057,625808,1563667770
